cam_sat,cam_tca,cam_dv_ms,num_degraded_crossings,num_unique_neighbors,worst_dist_km,worst_degradation_km,mean_degradation_km
695,2018089.45,0.1267,1,1,4.002612,1.456118,1.456118
702,676894.70,0.1139,1,1,22.898567,0.649665,0.649665
703,1919489.92,0.2741,1,1,29.578944,969.421056,969.421056
704,1323810.95,0.1269,1,1,18.512468,0.233786,0.233786
705,32279.89,0.0816,1,1,4.076032,1.382787,1.382787
706,1498920.65,0.1837,1,1,4.188039,1.272118,1.272118
708,1185914.94,0.0670,1,1,4.738152,0.720264,0.720264
709,1981660.92,0.1022,1,1,23.184754,0.363647,0.363647
716,2564525.31,0.0518,1,1,23.115941,0.430584,0.430584
720,162409.46,0.0532,1,1,4.598172,0.860932,0.860932
723,2370880.17,0.1094,1,1,5.372394,0.086882,0.086882
723,2582521.59,0.1225,1,1,4.168668,1.290608,1.290608
725,1838884.38,0.0623,1,1,4.959372,0.498818,0.498818
725,2277345.59,0.0249,1,1,5.144694,0.313496,0.313496
727,1595289.98,0.0677,1,1,23.300974,0.248035,0.248035
731,1810429.41,0.0517,1,1,22.856094,0.690601,0.690601
732,1119495.06,0.2515,1,1,4.802927,0.655526,0.655526
735,17655.07,0.3293,2,1,1.639141,3.819574,2.315839
735,2190099.41,0.1056,1,1,23.200024,0.353948,0.353948
737,4789.39,0.1038,1,1,18.315178,0.461859,0.461859
743,66850.12,0.0681,1,1,4.983461,0.475925,0.475925
743,2348924.26,0.1828,2,2,17.514141,969.576855,485.403837
745,487939.84,0.1437,2,2,5.445249,0.289233,0.151163
745,1922789.80,0.1121,1,1,4.623266,0.835077,0.835077
746,1213287.39,0.0636,1,1,4.539937,0.919729,0.919729
746,1704364.08,0.1961,1,1,3.991349,1.468317,1.468317
746,2216920.70,0.0238,1,1,23.487010,0.067030,0.067030
747,1632635.31,0.2307,2,2,18.700393,969.769456,484.932409
748,739609.93,0.1793,1,1,3.297959,2.161182,2.161182
749,2027615.15,0.1777,2,1,4.276014,1.182139,0.738903
750,334840.28,0.0903,1,1,18.594540,0.166970,0.166970
750,499730.63,0.1539,1,1,22.761363,0.794997,0.794997
750,2328304.61,0.0476,1,1,18.548691,0.212819,0.212819
751,2207705.68,0.0760,1,1,5.023379,0.435000,0.435000
752,126194.22,0.1824,1,1,4.802809,0.655556,0.655556
752,2125902.61,0.1872,2,2,5.407428,0.050937,0.026638
753,930231.04,0.1288,1,1,17.942564,0.812599,0.812599
754,2209159.97,0.0496,1,1,18.266445,0.486803,0.486803
758,593609.83,0.1235,1,1,5.188191,0.271651,0.271651
761,2444049.33,0.0139,1,1,5.285716,0.173608,0.173608
767,870595.44,0.2714,1,1,5.311457,0.147884,0.147884
767,1753435.47,0.0981,1,1,4.957384,0.501957,0.501957
767,1987794.49,0.1540,1,1,23.519194,0.029218,0.029218
770,1451264.83,0.0572,1,1,5.041233,0.416941,0.416941
771,1419523.69,0.0608,1,1,5.404218,0.055105,0.055105
772,2037560.15,0.3145,2,1,5.020006,0.438523,0.372097
773,1337104.59,0.0137,1,1,23.466173,0.095899,0.095899
774,234774.73,0.0673,1,1,22.683862,0.864229,0.864229
774,1504055.33,0.0338,1,1,5.170650,0.287545,0.287545
777,1499455.34,0.0390,1,1,23.232924,0.316683,0.316683
781,369029.34,0.0335,1,1,5.254450,0.206652,0.206652
782,1501612.73,0.2670,2,2,5.040528,2.392838,1.405185
783,899149.69,0.0538,1,1,5.256224,0.202614,0.202614
783,1678744.53,0.0786,1,1,5.449835,0.009003,0.009003
785,1861400.49,0.0381,1,1,4.985662,0.473354,0.473354
787,64270.20,0.0761,1,1,23.013195,0.540440,0.540440
788,1355985.47,0.0404,1,1,23.075994,0.488287,0.488287
792,1779666.50,0.0552,1,1,4.878100,0.580020,0.580020
794,437145.31,0.0678,1,1,18.738172,0.008167,0.008167
794,2155465.10,0.3418,1,1,28.714791,970.285209,970.285209
795,1097990.78,0.0506,1,1,5.071974,0.386445,0.386445
798,1797684.64,0.1432,1,1,5.348284,0.109983,0.109983
799,2417160.62,0.1426,1,1,4.865795,0.594839,0.594839
806,86120.14,0.2609,1,1,29.543484,969.456516,969.456516
812,361134.46,0.0941,1,1,4.009326,1.450199,1.450199
814,126828.96,0.2399,2,2,22.825572,970.641329,485.684953
817,269696.21,0.0664,1,1,22.702875,0.851684,0.851684
817,1985609.37,0.0863,1,1,5.457931,0.000541,0.000541
821,201035.89,0.1229,2,1,4.777419,0.681183,0.503175
822,1925335.97,0.2929,1,1,4.310165,1.149188,1.149188
823,2216661.04,0.2148,1,1,2.495199,2.962935,2.962935
824,1911434.37,0.1789,2,2,23.443827,969.902876,485.004800
825,2025626.00,0.0254,1,1,5.272579,0.185726,0.185726
827,170223.58,0.1202,1,1,21.834273,1.713403,1.713403
829,533464.82,0.0324,1,1,23.203686,0.345440,0.345440
829,1807110.21,0.1701,1,1,29.229348,969.770652,969.770652
830,2370909.87,0.0944,1,1,22.775132,0.773496,0.773496
831,120539.09,0.1021,1,1,18.525817,0.226766,0.226766
832,956410.46,0.0920,1,1,5.210572,0.247905,0.247905
833,1023370.10,0.0624,1,1,5.291931,0.166495,0.166495
836,2117210.91,0.2571,3,3,16.671323,970.824216,324.335798
837,572590.53,0.0539,1,1,5.329867,0.129459,0.129459
839,34125.00,0.0524,1,1,4.868780,0.589410,0.589410
844,607290.86,0.1314,1,1,22.573008,0.974388,0.974388
845,3775.46,0.0767,1,1,22.735528,0.819154,0.819154
845,857225.67,0.2495,1,1,5.209432,0.249390,0.249390
846,2074854.72,0.2662,2,2,22.203933,971.200348,486.272206
848,762204.85,0.0568,1,1,5.408166,0.049873,0.049873
850,1946654.33,0.1000,1,1,4.565900,0.893626,0.893626
856,2408834.33,0.3004,2,1,4.888680,0.569579,0.547620
857,875705.43,0.0842,1,1,23.199771,0.348526,0.348526
862,1661575.16,0.0778,1,1,22.586130,0.960442,0.960442
862,2589129.02,0.1733,2,1,4.549239,0.910543,0.773470
863,2016248.73,0.3275,1,1,29.460858,969.539142,969.539142
864,1292173.88,0.0449,1,1,5.065712,0.392429,0.392429
864,2079625.67,0.2232,2,2,23.185940,970.304512,485.332390
864,2085374.28,0.0773,1,1,28.695488,970.304512,970.304512
866,1480879.96,0.1392,1,1,4.554630,0.904491,0.904491
866,2420348.98,0.2071,1,1,3.904277,1.554844,1.554844
867,1117289.37,0.0720,1,1,23.203777,0.346469,0.346469
873,858494.99,0.1726,1,1,21.810562,1.739161,1.739161
874,2091065.36,0.2436,2,2,16.996743,969.815359,485.782338
875,1602475.58,0.0498,1,1,22.928417,0.618286,0.618286
881,1953829.81,0.2828,3,3,18.609012,969.395707,323.531965
882,1356611.98,0.2894,2,2,20.935508,969.750161,486.182585
882,2229749.13,0.0949,1,1,4.761272,0.696879,0.696879
883,2093020.66,0.2913,3,2,18.744808,970.248352,646.427286
886,336584.72,0.1307,1,1,4.319626,1.139389,1.139389
887,649794.33,0.2227,1,1,29.959753,969.040247,969.040247
