sat_i,sat_j,min_dist_km
1451,1560,0.800421
611,720,0.800430
383,492,0.800436
1327,1436,0.800446
357,466,0.800446
1091,1200,0.800460
1225,1334,0.800477
1356,1465,0.800480
816,925,0.800517
1085,1194,0.800522
422,531,0.800539
810,919,0.800548
632,741,0.800550
278,387,0.800562
0,1474,0.800619
857,966,0.800644
307,416,0.800664
1198,1307,0.800698
349,458,0.800700
552,661,0.800704
1411,1520,0.800710
772,881,0.800717
1069,1178,0.800739
347,456,0.800769
1170,1279,0.800769
60,169,0.800778
49,158,0.800781
870,979,0.800785
974,1083,0.800810
814,945,0.800822
760,869,0.800857
182,291,0.800860
583,692,0.800864
207,316,0.800921
508,617,0.800921
114,223,0.800931
538,647,0.800933
741,850,0.800963
780,889,0.800980
271,380,0.800998
37,146,0.801027
354,463,0.801046
54,1528,0.801064
627,736,0.801104
1408,1539,0.801109
194,303,0.801111
1462,1571,0.801135
1029,1138,0.801136
476,585,0.801152
991,1100,0.801178
329,438,0.801242
180,289,0.801255
1416,1525,0.801298
842,951,0.801307
160,269,0.801313
574,683,0.801350
13,122,0.801364
986,1095,0.801365
136,245,0.801370
1440,1549,0.801377
1133,1242,0.801395
163,272,0.801418
477,586,0.801423
22,1496,0.801434
867,976,0.801439
350,459,0.801491
42,151,0.801503
467,576,0.801506
571,680,0.801557
796,905,0.801557
938,1047,0.801634
615,724,0.801640
87,196,0.801644
106,1580,0.801789
10,1484,0.801823
33,142,0.801825
470,579,0.801829
220,351,0.801889
361,470,0.801911
243,352,0.801967
103,1577,0.801999
961,1070,0.802011
616,747,0.802029
718,827,0.802031
554,663,0.802035
234,343,0.802061
212,321,0.802103
1147,1256,0.802134
590,699,0.802148
740,849,0.802156
514,623,0.802165
604,713,0.802168
40,149,0.802201
617,726,0.802220
944,1053,0.802233
1362,1471,0.802236
1065,1174,0.802250
746,855,0.802253
665,774,0.802357
1469,1578,0.802405
1341,1450,0.802411
175,284,0.802449
1070,1179,0.802457
219,328,0.802460
64,1538,0.802513
695,804,0.802521
621,730,0.802572
419,528,0.802585
326,435,0.802650
786,895,0.802650
118,227,0.802653
1056,1187,0.802695
52,1526,0.802702
1134,1243,0.802703
1371,1480,0.802772
214,323,0.802775
1020,1129,0.802776
1185,1294,0.802782
883,992,0.802785
534,643,0.802806
15,124,0.802815
1370,1479,0.802817
791,900,0.802860
881,990,0.802868
895,1004,0.802938
1454,1563,0.802959
1339,1448,0.802961
144,253,0.802984
1045,1154,0.802986
1300,1409,0.802991
141,250,0.802994
572,703,0.802996
1428,1537,0.803019
1457,1566,0.803024
276,385,0.803071
1459,1568,0.803113
933,1042,0.803120
275,384,0.803136
405,514,0.803140
838,947,0.803205
1358,1467,0.803235
1143,1252,0.803245
1165,1274,0.803292
211,320,0.803321
1431,1540,0.803353
1456,1565,0.803360
1145,1254,0.803373
181,290,0.803448
128,237,0.803456
866,975,0.803507
463,572,0.803530
1153,1262,0.803582
8,117,0.803606
1136,1245,0.803625
1080,1189,0.803634
981,1090,0.803651
1309,1418,0.803657
1412,1521,0.803672
78,1552,0.803685
1418,1527,0.803687
860,969,0.803779
1307,1416,0.803793
1051,1160,0.803809
1092,1201,0.803898
548,657,0.803911
1352,1461,0.803975
230,339,0.804040
901,1010,0.804067
256,365,0.804088
597,706,0.804099
288,397,0.804101
723,832,0.804109
1006,1115,0.804172
622,731,0.804192
1249,1358,0.804194
184,293,0.804223
1082,1191,0.804226
785,894,0.804281
291,400,0.804287
1276,1407,0.804288
297,406,0.804337
1306,1415,0.804345
1446,1555,0.804424
1216,1325,0.804456
1021,1130,0.804498
1192,1301,0.804560
1032,1141,0.804584
840,949,0.804606
427,536,0.804632
458,567,0.804633
1160,1269,0.804707
224,333,0.804724
569,678,0.804738
1337,1446,0.804743
837,946,0.804759
1252,1361,0.804772
2,1476,0.804787
1396,1505,0.804803
305,414,0.804843
73,182,0.804901
60,1534,0.804948
306,415,0.804982
1310,1419,0.805022
685,794,0.805046
733,842,0.805069
614,723,0.805191
875,984,0.805229
26,135,0.805267
1057,1166,0.805276
457,566,0.805326
42,1516,0.805331
690,799,0.805340
681,790,0.805349
425,534,0.805372
69,1543,0.805464
1014,1123,0.805468
379,488,0.805483
76,185,0.805548
342,451,0.805575
475,584,0.805622
12,1486,0.805638
460,569,0.805689
34,143,0.805791
162,271,0.805832
1316,1425,0.805837
384,493,0.805869
387,496,0.805880
436,545,0.805941
1138,1247,0.806044
375,484,0.806051
573,682,0.806064
444,553,0.806103
358,467,0.806167
318,427,0.806173
129,238,0.806180
258,367,0.806234
766,875,0.806236
195,304,0.806293
790,899,0.806459
452,561,0.806480
242,373,0.806510
238,347,0.806537
588,697,0.806560
970,1079,0.806572
605,714,0.806589
35,144,0.806618
985,1094,0.806722
693,802,0.806747
267,376,0.806751
834,943,0.806754
618,727,0.806945
1463,1572,0.806953
1384,1493,0.806991
461,570,0.806995
1441,1550,0.807057
916,1025,0.807073
1312,1421,0.807090
713,822,0.807115
328,437,0.807143
607,716,0.807184
232,341,0.807245
300,409,0.807290
1269,1378,0.807305
1330,1439,0.807333
157,266,0.807381
802,911,0.807438
240,349,0.807485
51,160,0.807524
385,494,0.807532
223,332,0.807540
1242,1351,0.807572
431,540,0.807624
